"Intercept","Slope","Rsquared","pvalue","num_obs","RMSE","MAE","RAE","RMSLE"
-0.0421,1.3505,0.287,NA,34,3.4667,1.70801154221158,1.71906736188012,0.444
0.1756,0.7586,0.1199,NA,34,2.4272,1.60296837055625,1.04221045481275,0.4744
-0.0469,1.0873,0.221,NA,34,4.8242,1.8973572006062,1.66510538201772,0.404
0.0198,1.1841,0.3496,NA,34,2.0956,1.12432445523273,1.01701859034733,0.3828
-0.0042,1.1579,0.246,NA,34,2.6978,1.51153383617943,1.25491292104501,0.4125
0.0135,0.8836,0.0198,NA,34,2.2028,1.57708376590347,1.14537500966942,0.5041
0.0694,-1.2496,0.0042,NA,34,1.9455,1.54073564962963,1.77063479059119,0.5901
0.0495,-1.0105,0.0182,NA,34,1.8768,1.52783525103348,1.52766226687632,0.5764
-0.1947,1.2418,0.287,NA,34,3.8527,1.80282719057921,1.35823278267696,0.4526
-0.1799,1.2502,0.2068,NA,34,2.1681,1.40779536214319,1.50584691525911,0.4294
0.0876,0.9593,0.3789,NA,35,1.8119,1.1030906434582,1.09887596438375,0.311
0.0308,-0.7863,0,NA,35,1.5893,1.18367776178215,1.19121501169993,0.5145
-0.0751,-1.1292,0.0241,NA,35,2.0999,1.54226958900378,1.67852467996217,0.6011
-0.013,0.9496,0.1666,NA,35,2.201,1.18043790831656,1.08408664081451,0.3874
0.046,0.9083,4e-04,NA,35,1.6256,1.2906374657026,1.37159659346132,0.5141
0.0072,-0.8985,0.0601,NA,35,1.7399,1.44361158475144,1.49243782762239,0.6102
0.0226,-0.9998,0.0171,NA,35,1.7957,1.45220196199543,1.71756230124339,0.5613
-0.0174,1.0476,0.3089,NA,35,2.6286,1.45522319848555,1.16184883921165,0.3886
0.1163,1.248,0.1245,NA,35,6.7377,2.27894971363475,2.57298775023076,0.4629
0.1506,-0.6899,2e-04,NA,35,2.4029,1.69510297404513,1.206739220463,0.58
0.0475,0.9517,0.0139,NA,35,2.0561,1.42780229178283,1.28933048979361,0.4928
-0.1833,0.8238,0.1655,NA,35,1.5334,1.01639472808133,1.05035813461149,0.4171
0.0669,-0.8853,0.0125,NA,35,2.1157,1.64310911626419,1.54608499054819,0.5945
0.0508,1.0409,0.3069,NA,35,5.3915,2.25714889048252,1.52672912571185,0.4244
0.1189,1.0141,0.0057,NA,35,1.6653,1.22756444742317,1.40076830607388,0.5475
-0.0285,0.889,0.2609,NA,35,2.5421,1.40897407900635,0.922190422942209,0.4045
0.0366,0.7584,0.0996,NA,35,2.6427,1.67910911700791,0.850946468715827,0.4917
0.1009,1.0186,0.2312,NA,35,5.2109,2.03421496873725,1.74631368739357,0.4527
0.0375,1.0335,0.0185,NA,35,1.9125,1.36305679660098,1.44241981963424,0.5047
0.1398,0.864,0.2509,NA,35,4.9952,1.75557091576555,1.47233039056004,0.4194
0.0409,0.7027,0.0091,NA,35,2.1772,1.58536837097156,1.02040539980026,0.5497
0.0214,1.106,0.289,NA,35,2.3304,1.27438891982015,1.17746456053559,0.3852
0.1018,0.8729,0.2186,NA,35,2.9208,1.69918884728841,1.28060908357721,0.413
0.0702,-1.0114,0.0554,NA,35,1.8552,1.39709169210193,1.69843940127989,0.5654
-0.144,1.0633,0.0257,NA,35,1.895,1.3516194338207,1.17317515378711,0.5085
0.013,1.3084,0.2147,NA,35,4.0799,1.49941568389325,2.04254701209806,0.3769
0.1012,1.1777,0.3112,NA,35,5.5612,1.81959545373572,2.18744090680687,0.4027
-0.0687,1.1076,1e-04,NA,35,1.7087,1.20727998360927,1.25364789018817,0.49
-0.0291,0.8161,0.3007,NA,35,1.5325,0.912733388544158,0.924720753171875,0.3434
-0.1057,1.0852,0.2521,NA,35,2.299,1.37873475967847,1.20227886951279,0.3997
0.0032,-1.0846,0.0199,NA,35,1.8772,1.35033466630035,1.75405549265749,0.549
0.0906,-1.1699,0.031,NA,35,2.0579,1.61267974205799,1.96511781576209,0.5873
0.0077,1.4606,0.5767,NA,35,2.7521,1.22467986096551,1.42606743860485,0.3142
0.006,0.9632,0.0011,NA,35,1.7329,1.34688696078384,1.47471532655046,0.529
-0.0056,0.9662,0.1421,NA,35,5.0615,1.79498247211892,1.51423160322654,0.4272
0.1818,-0.7903,0.0205,NA,35,1.717,1.33764326629191,1.58222546593736,0.5147
-0.0143,1.053,0.4262,NA,35,1.7168,0.971343324488548,1.04953443568482,0.2861
0.2369,1.1322,0.0019,NA,35,2.7573,2.05044368411383,2.11139324545218,0.6148
0.1011,0.7297,0,NA,35,2.1725,1.44954253329852,1.17035702679646,0.5273
-0.0616,-1.3856,0.0081,NA,35,1.5489,1.24485216110304,1.88958839882007,0.5657
